wse,A_ch,A_lob,A_rob,A_t,Fr,K_ch,K_lob,K_rob,K_t,P_ch,P_lob,P_rob,P_t,Sf_total,V_t,alpha
17.0,170.0,0.0,0.0,170.0,0.1257604531343443,17819.600995009612,0.0,0.0,17819.600995009612,,,,,0.0007873069005374903,2.9411764705882355,1.0
17.5,175.0,0.0,0.0,175.0,0.12040940284348557,18423.549096085073,0.0,0.0,18423.549096085073,,,,,0.0007365350464163087,2.857142857142857,1.0
18.0,180.0,0.0,0.0,180.0,0.11542734807875225,19028.322851871722,0.0,0.0,19028.322851871722,,,,,0.0006904607342761317,2.7777777777777777,1.0
18.5,185.0,0.0,0.0,185.0,0.11077962303788667,19633.867965487632,0.0,0.0,19633.867965487632,,,,,0.000648527320694357,2.7027027027027026,1.0
19.0,190.0,0.0,0.0,190.0,0.1064356395689769,20240.134806490994,0.0,0.0,20240.134806490994,,,,,0.0006102576147333627,2.6315789473684212,1.0
19.5,195.0,0.0,0.0,195.0,0.10236831588812918,20847.077919285697,0.0,0.0,20847.077919285697,,,,,0.0005752407308382685,2.5641025641025643,1.0
20.0,200.0,0.0,0.0,200.0,0.09855359753451778,21454.655592495554,0.0,0.0,21454.655592495554,,,,,0.0005431213987127621,2.5,1.0
20.5,205.0,0.0,0.0,205.0,0.09497005379622951,22062.829480648674,0.0,0.0,22062.829480648674,,,,,0.0005135912213004964,2.4390243902439024,1.0
21.0,210.0,0.0,0.0,210.0,0.09159853621264409,22671.56427089353,0.0,0.0,22671.56427089353,,,,,0.0004863814871447737,2.380952380952381,1.0
21.5,215.0,0.0,0.0,215.0,0.08842188839087038,23280.827388604852,0.0,0.0,23280.827388604852,,,,,0.00046125723039535527,2.3255813953488373,1.0000000000000002
22.0,220.0,0.0,0.0,220.0,0.08542469844066305,23890.58873667837,0.0,0.0,23890.58873667837,,,,,0.00043801229794676193,2.272727272727273,0.9999999999999999
22.5,225.0,0.0,0.0,225.0,0.08259308696531834,24500.820464094322,0.0,0.0,24500.820464094322,,,,,0.000416465233945645,2.2222222222222223,1.0
23.0,230.0,0.0,0.0,230.0,0.07991452484375527,25111.49675998142,0.0,0.0,25111.49675998142,,,,,0.00039645583106633135,2.1739130434782608,1.0
23.5,235.0,0.0,0.0,235.0,0.07737767607583936,25722.593669958187,0.0,0.0,25722.593669958187,,,,,0.0003778422283631171,2.127659574468085,1.0
24.0,240.0,0.0,0.0,240.0,0.07497226179575128,26334.08893198637,0.0,0.0,26334.08893198637,,,,,0.0003604984592642866,2.0833333333333335,1.0
24.5,245.0,0.0,0.0,245.0,0.07268894223035127,26945.961829357173,0.0,0.0,26945.961829357173,,,,,0.0003443123719389838,2.0408163265306123,1.0
25.0,250.0,0.0,0.0,250.0,0.07051921392458799,27558.19305875744,0.0,0.0,27558.19305875744,,,,,0.0003291838590155162,2.0,1.0
25.5,255.0,0.0,0.0,255.0,0.06845532000007576,28170.764611639355,0.0,0.0,28170.764611639355,,,,,0.0003150233453425832,1.9607843137254901,1.0
26.0,260.0,0.0,0.0,260.0,0.06649017157631254,28783.65966735306,0.0,0.0,28783.65966735306,,,,,0.00030175049183455376,1.9230769230769231,1.0
26.5,265.0,0.0,0.0,265.0,0.06461727878254701,29396.862496702037,0.0,0.0,29396.862496702037,,,,,0.00028929308094122506,1.8867924528301887,1.0
27.0,270.0,0.0,0.0,270.0,0.0628306900345705,30010.35837475319,0.0,0.0,30010.35837475319,,,,,0.00027758605532545274,1.8518518518518519,1.0
27.5,275.0,0.0,0.0,275.0,0.06112493845463772,30624.133501880955,0.0,0.0,30624.133501880955,,,,,0.00026657068622313365,1.8181818181818181,1.0
28.0,280.0,0.0,0.0,280.0,0.059494994482213966,31238.174932151356,0.0,0.0,31238.174932151356,,,,,0.00025619385193568155,1.7857142857142858,0.9999999999999999
28.5,285.0,0.0,0.0,285.0,0.057936223864616956,31852.470508261544,0.0,0.0,31852.470508261544,,,,,0.0002464074101499308,1.7543859649122806,0.9999999999999999
29.0,290.0,0.0,0.0,290.0,0.05644435033494065,32467.008802344568,0.0,0.0,32467.008802344568,,,,,0.00023716765043914437,1.7241379310344827,1.0000000000000002
29.5,295.0,0.0,0.0,295.0,0.05501542238399805,33081.77906203125,0.0,0.0,33081.77906203125,,,,,0.00022843481548558473,1.694915254237288,1.0
30.0,300.0,0.0,0.0,300.0,0.0536457836167073,33696.771161231896,0.0,0.0,33696.771161231896,,,,,0.00022017268137029442,1.6666666666666667,1.0
