mann,expansion_coeff,alpha_method,sf_method,max_abs,mean_abs,rmse
1.48,0.05,area,avg,1.7163809745231902,0.8423163161304956,1.0853759928512676
1.48,0.1,conveyance,combined,2.1832124807294804,1.029049232452212,1.3343280131520954
1.48,0.1,conveyance,avg,1.7163809769260752,0.8423163180528036,1.0853759947133788
1.48,0.1,area,combined,2.193102677044294,1.0330053109781374,1.3398056950561543
1.48,0.1,area,avg,1.7163809771898286,0.8423163182638064,1.0853759949177741
1.5,0.0,conveyance,combined,2.073238768651777,0.9946448177581942,1.2785093207304599
1.5,0.0,conveyance,avg,1.736376655069762,0.8598996633891829,1.1009222391201807
1.5,0.0,area,combined,2.084690022074483,0.9992253191272766,1.2847357120353167
1.5,0.0,area,avg,1.7363766552825837,0.8598996635594404,1.10092223928587
1.5,0.02,conveyance,combined,2.1100765124582495,1.0093799152807832,1.2985766888294106
1.5,0.02,conveyance,avg,1.7363766561563807,0.859899664258478,1.1009222399661518
1.5,0.02,area,combined,2.1209607088218263,1.013733593826214,1.304526411720971
1.5,0.02,area,avg,1.7363766563732952,0.8598996644320096,1.1009222401350274
1.5,0.05,conveyance,combined,2.15904220274831,1.0289661913968076,1.3254144096630889
1.5,0.05,conveyance,avg,1.7363766577846036,0.8598996655610562,1.1009222412337805
1.5,0.05,area,combined,2.1692973624643628,1.0330682552832287,1.3310579055226315
1.5,0.05,area,avg,1.7363766580074298,0.8598996657393172,1.1009222414072586
1.5,0.1,conveyance,combined,2.228504719568832,1.0567511981250164,1.3637866939882382
1.5,0.1,conveyance,avg,1.736376660492624,0.8598996677274726,1.1009222433420698
1.5,0.1,area,combined,1.3799321149102752,0.4348073181099835,0.6610118797047495
1.5,0.1,area,avg,1.736376660725682,0.859899667913919,1.1009222435235138
1.52,0.0,conveyance,combined,2.12634749439178,1.02771907845854,1.312080988021818
1.52,0.0,conveyance,avg,1.756094620633121,0.8796176259746517,1.116391292717767
1.52,0.0,area,combined,2.1371676092534244,1.032047124403198,1.317988483177189
1.52,0.0,area,avg,1.7560946208167252,0.879617626121535,1.1163912928613229
1.52,0.02,conveyance,combined,2.1602969154239418,1.0412988468714048,1.3306465398911143
